Election_Type,State_Name,Assembly_No,Constituency_No,Year,month,Poll_No,DelimID,Position,Candidate,Sex,Party,Votes,Candidate_Type,Valid_Votes,Electors,Constituency_Name,Constituency_Type,Sub_Region,N_Cand,Turnout_Percentage,Vote_Share_Percentage,Deposit_Lost,Margin,Margin_Percentage,ENOP,pid,Party_Type_TCPD,Party_ID,last_poll,Contested,Last_Party,Last_Party_ID,Last_Constituency_Name,Same_Constituency,Same_Party,No_Terms,Turncoat,Incumbent,Recontest,Age,District_Name
AE,West_Bengal,17,1,2021,5,0,4,1,ADHIKARY PARESH CHANDRA,M,AITC,99338,,198744,227631,MEKLIGANJ,SC,JALPAIGURI DIVISION,9,87.31,49.98,no,14685,7.39,2.33,AEWB102177,,,TRUE,6,AIFB,,MEKLIGANJ,TRUE,FALSE,5,TRUE,FALSE,TRUE,68,COOCH BEHAR
AE,West_Bengal,17,1,2021,5,0,4,2,DADHIRAM RAY,M,BJP,84653,,198744,227631,MEKLIGANJ,SC,JALPAIGURI DIVISION,9,87.31,42.59,no,77800,39.15,2.33,AEWB100207,,,TRUE,2,BJP,,MEKLIGANJ,TRUE,TRUE,0,FALSE,FALSE,TRUE,38,COOCH BEHAR
AE,West_Bengal,17,1,2021,5,0,4,3,GOBINDA CHANDRA ROY,M,AIFB,6853,,198744,227631,MEKLIGANJ,SC,JALPAIGURI DIVISION,9,87.31,3.45,yes,4406,2.22,2.33,AEWB102301,,,TRUE,2,AIFB,,JALPAIGURI,FALSE,TRUE,0,FALSE,FALSE,FALSE,62,COOCH BEHAR
AE,West_Bengal,17,1,2021,5,0,4,4,None Of The Above,,NOTA,2447,,198744,227631,MEKLIGANJ,SC,JALPAIGURI DIVISION,9,87.31,1.23,yes,679,0.34,2.33,,,,TRUE,,,,,,,,,FALSE,FALSE,,COOCH BEHAR
AE,West_Bengal,17,1,2021,5,0,4,5,RANJIT KUMAR ROY,M,SUCI,1768,,198744,227631,MEKLIGANJ,SC,JALPAIGURI DIVISION,9,87.31,0.89,yes,743,0.37,2.33,DUMWB785,,,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,37,COOCH BEHAR
AE,West_Bengal,17,1,2021,5,0,4,6,JYOTISH ROY,M,BSP,1025,,198744,227631,MEKLIGANJ,SC,JALPAIGURI DIVISION,9,87.31,0.52,yes,70,0.04,2.33,AEWB100208,,,TRUE,4,BSP,,MEKLIGANJ,TRUE,TRUE,0,FALSE,FALSE,TRUE,71,COOCH BEHAR
AE,West_Bengal,17,1,2021,5,0,4,7,SUBHASH BARMAN,M,IND,955,,198744,227631,MEKLIGANJ,SC,JALPAIGURI DIVISION,9,87.31,0.48,yes,161,0.08,2.33,AEWB102180,,,TRUE,2,BJP,,MEKLIGANJ,TRUE,FALSE,0,FALSE,FALSE,FALSE,46,COOCH BEHAR
AE,West_Bengal,17,1,2021,5,0,4,8,KUKIL ADHIKARY,M,Kamatapur People’s Party (United),794,,198744,227631,MEKLIGANJ,SC,JALPAIGURI DIVISION,9,87.31,0.4,yes,283,0.14,2.33,DUMWB636,,,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,36,COOCH BEHAR
AE,West_Bengal,17,1,2021,5,0,4,9,GOLAPI ROY,F,IND,511,,198744,227631,MEKLIGANJ,SC,JALPAIGURI DIVISION,9,87.31,0.26,yes,111,0.06,2.33,AEWB100211,,,TRUE,2,IND,,MEKLIGANJ,TRUE,TRUE,0,FALSE,FALSE,TRUE,33,COOCH BEHAR
AE,West_Bengal,17,1,2021,5,0,4,10,CHINU ROY BARMAN,F,Amra Bangalee,400,,198744,227631,MEKLIGANJ,SC,JALPAIGURI DIVISION,9,87.31,0.2,yes,0,0,2.33,DUMWB733,,,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,31,COOCH BEHAR
AE,West_Bengal,17,2,2021,5,0,4,1,Sushil Barman,M,BJP,113249,,214203,249800,MATHABHANGA,SC,JALPAIGURI DIVISION,8,85.75,52.87,no,26134,12.2,2.22,AEWB125010,,,TRUE,3,BJP,,MATHABHANGA,TRUE,TRUE,1,FALSE,FALSE,TRUE,55,COOCH BEHAR
AE,West_Bengal,17,2,2021,5,0,4,2,Girindra Nath Barman,M,AITC,87115,,214203,249800,MATHABHANGA,SC,JALPAIGURI DIVISION,8,85.75,40.67,no,79397,37.07,2.22,GEWB125015,,,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,66,COOCH BEHAR
AE,West_Bengal,17,2,2021,5,0,4,3,Ashok Barman,M,CPM,7718,,214203,249800,MATHABHANGA,SC,JALPAIGURI DIVISION,8,85.75,3.6,yes,6275,2.93,2.22,DUMWB130,,,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,38,COOCH BEHAR
AE,West_Bengal,17,2,2021,5,0,4,4,None Of The Above,,NOTA,1443,,214203,249800,MATHABHANGA,SC,JALPAIGURI DIVISION,8,85.75,0.67,yes,154,0.07,2.22,,,,TRUE,,,,,,,,,FALSE,FALSE,,COOCH BEHAR
AE,West_Bengal,17,2,2021,5,0,4,5,Kangsa Raj Barman,M,Kamatapur People’s Party (United),1289,,214203,249800,MATHABHANGA,SC,JALPAIGURI DIVISION,8,85.75,0.6,yes,122,0.06,2.22,AEWB104069,,,TRUE,3,KPPU,,MATHABHANGA,TRUE,FALSE,0,TRUE,FALSE,TRUE,52,COOCH BEHAR
AE,West_Bengal,17,2,2021,5,0,4,6,Haradhan Roy,M,IND,1167,,214203,249800,MATHABHANGA,SC,JALPAIGURI DIVISION,8,85.75,0.54,yes,20,0.01,2.22,DUMWB861,,,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,34,COOCH BEHAR
AE,West_Bengal,17,2,2021,5,0,4,7,Animesh Mohanta,M,IND,1147,,214203,249800,MATHABHANGA,SC,JALPAIGURI DIVISION,8,85.75,0.54,yes,558,0.26,2.22,DUMWB786,,,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,40,COOCH BEHAR
AE,West_Bengal,17,2,2021,5,0,4,8,Bikash Barman,M,SUCI,589,,214203,249800,MATHABHANGA,SC,JALPAIGURI DIVISION,8,85.75,0.27,yes,103,0.05,2.22,DUMWB637,,,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,35,COOCH BEHAR
AE,West_Bengal,17,2,2021,5,0,4,9,Ratan Barman,M,Amra Bangalee,486,,214203,249800,MATHABHANGA,SC,JALPAIGURI DIVISION,8,85.75,0.23,yes,0,0,2.22,AEWB100210,,,TRUE,4,AMB,,MEKLIGANJ,FALSE,FALSE,0,TRUE,FALSE,TRUE,56,COOCH BEHAR
AE,West_Bengal,17,3,2021,5,0,4,1,SUKUMAR ROY,M,BJP,120483,,243916,285650,COOCH BEHAR UTTAR,SC,JALPAIGURI DIVISION,7,85.39,49.4,no,14615,5.99,2.33,AEWB100224,,,TRUE,2,BJP,,COOCH BEHAR UTTAR,TRUE,TRUE,1,FALSE,FALSE,TRUE,52,COOCH BEHAR
AE,West_Bengal,17,3,2021,5,0,4,2,BINAY KRISHNA BARMAN,M,AITC,105868,,243916,285650,COOCH BEHAR UTTAR,SC,JALPAIGURI DIVISION,7,85.39,43.4,no,94393,38.7,2.33,AEWB105807,,,TRUE,4,AITC,,MATHABHANGA,FALSE,TRUE,2,FALSE,TRUE,TRUE,60,COOCH BEHAR
AE,West_Bengal,17,3,2021,5,0,4,3,NAGENDRA NATH ROY,M,AIFB,11475,,243916,285650,COOCH BEHAR UTTAR,SC,JALPAIGURI DIVISION,7,85.39,4.7,yes,9905,4.06,2.33,AEWB102191,,,TRUE,3,AIFB,,COOCH BEHAR UTTAR,TRUE,TRUE,2,FALSE,TRUE,TRUE,65,COOCH BEHAR
AE,West_Bengal,17,3,2021,5,0,4,4,None Of The Above,,NOTA,1570,,243916,285650,COOCH BEHAR UTTAR,SC,JALPAIGURI DIVISION,7,85.39,0.64,yes,184,0.08,2.33,,,,TRUE,,,,,,,,,FALSE,FALSE,,COOCH BEHAR
AE,West_Bengal,17,3,2021,5,0,4,5,ANIL CHANDRA ROY,M,SUCI,1386,,243916,285650,COOCH BEHAR UTTAR,SC,JALPAIGURI DIVISION,7,85.39,0.57,yes,7,0,2.33,AEWB100227,,,TRUE,2,SUCI,,COOCH BEHAR UTTAR,TRUE,TRUE,0,FALSE,FALSE,TRUE,53,COOCH BEHAR
AE,West_Bengal,17,3,2021,5,0,4,6,NARESH CHANDRA ROY,M,IND,1379,,243916,285650,COOCH BEHAR UTTAR,SC,JALPAIGURI DIVISION,7,85.39,0.57,yes,252,0.1,2.33,GEWB83698,,,TRUE,2,IND,,COOCH BEHAR UTTAR,TRUE,TRUE,0,FALSE,FALSE,TRUE,48,COOCH BEHAR
AE,West_Bengal,17,3,2021,5,0,4,7,SAMARESH RAY,M,Kamatapur People’s Party (United),1127,,243916,285650,COOCH BEHAR UTTAR,SC,JALPAIGURI DIVISION,7,85.39,0.46,yes,499,0.2,2.33,DUMWB700,,,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,39,COOCH BEHAR
AE,West_Bengal,17,3,2021,5,0,4,8,GOPAL ROY,M,Amra Bangalee,628,,243916,285650,COOCH BEHAR UTTAR,SC,JALPAIGURI DIVISION,7,85.39,0.26,yes,0,0,2.33,DUMWB629,,,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,41,COOCH BEHAR
AE,West_Bengal,17,4,2021,5,0,4,1,Nikhil Ranjan Dey,M,BJP,91560,,195505,237034,COOCH BEHAR DAKSHIN,GEN,JALPAIGURI DIVISION,9,82.48,46.83,no,4931,2.52,2.38,AEWB100232,,,TRUE,2,BJP,,COOCH BEHAR DAKSHIN,TRUE,TRUE,1,FALSE,FALSE,TRUE,63,COOCH BEHAR
AE,West_Bengal,17,4,2021,5,0,4,2,Avijit De Bhowmik,M,AITC,86629,,195505,237034,COOCH BEHAR DAKSHIN,GEN,JALPAIGURI DIVISION,9,82.48,44.31,no,76383,39.07,2.38,DUMWB202,,,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,46,COOCH BEHAR
AE,West_Bengal,17,4,2021,5,0,4,3,Akshay Thakur,M,AIFB,10246,,195505,237034,COOCH BEHAR DAKSHIN,GEN,JALPAIGURI DIVISION,9,82.48,5.24,yes,8761,4.48,2.38,AEWB100252,,,TRUE,5,AIFB,,DINHATA,FALSE,TRUE,3,FALSE,FALSE,TRUE,71,COOCH BEHAR
AE,West_Bengal,17,4,2021,5,0,4,4,Rati Ranjan Paul,M,IND,1485,,195505,237034,COOCH BEHAR DAKSHIN,GEN,JALPAIGURI DIVISION,9,82.48,0.76,yes,21,0.01,2.38,DUMWB888,,,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,55,COOCH BEHAR
AE,West_Bengal,17,4,2021,5,0,4,5,None Of The Above,,NOTA,1464,,195505,237034,COOCH BEHAR DAKSHIN,GEN,JALPAIGURI DIVISION,9,82.48,0.75,yes,45,0.02,2.38,,,,TRUE,,,,,,,,,FALSE,FALSE,,COOCH BEHAR
AE,West_Bengal,17,4,2021,5,0,4,6,Khokan Majumdar,M,BSP,1419,,195505,237034,COOCH BEHAR DAKSHIN,GEN,JALPAIGURI DIVISION,9,82.48,0.73,yes,281,0.14,2.38,DUMWB403,,,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,71,COOCH BEHAR
AE,West_Bengal,17,4,2021,5,0,4,7,Nazma Khandakar,F,SUCI,1138,,195505,237034,COOCH BEHAR DAKSHIN,GEN,JALPAIGURI DIVISION,9,82.48,0.58,yes,399,0.2,2.38,AEWB121279,,,TRUE,2,SUCI,,COOCH BEHAR DAKSHIN,TRUE,TRUE,0,FALSE,FALSE,TRUE,61,COOCH BEHAR
AE,West_Bengal,17,4,2021,5,0,4,8,Anamika Paul,F,IND,739,,195505,237034,COOCH BEHAR DAKSHIN,GEN,JALPAIGURI DIVISION,9,82.48,0.38,yes,243,0.12,2.38,DUMWB814,,,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,46,COOCH BEHAR
AE,West_Bengal,17,4,2021,5,0,4,9,Bidhan Barma,M,IND,496,,195505,237034,COOCH BEHAR DAKSHIN,GEN,JALPAIGURI DIVISION,9,82.48,0.25,yes,167,0.09,2.38,DUMWB825,,,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,40,COOCH BEHAR
AE,West_Bengal,17,4,2021,5,0,4,10,Babla Deb,M,Amra Bangalee,329,,195505,237034,COOCH BEHAR DAKSHIN,GEN,JALPAIGURI DIVISION,9,82.48,0.17,yes,0,0,2.38,AEWB100264,,,TRUE,2,AMB,,NATABARI,FALSE,FALSE,0,TRUE,FALSE,TRUE,33,COOCH BEHAR
AE,West_Bengal,17,5,2021,5,0,4,1,Baren Chandra Barman,M,BJP,124955,,245966,287445,SITALKUCHI,SC,JALPAIGURI DIVISION,7,85.57,50.8,no,17815,7.24,2.22,AEWB100239,,,TRUE,2,BJP,,SITALKUCHI,TRUE,TRUE,1,FALSE,FALSE,TRUE,47,COOCH BEHAR
AE,West_Bengal,17,5,2021,5,0,4,2,Partha Pratim Ray,M,AITC,107140,,245966,287445,SITALKUCHI,SC,JALPAIGURI DIVISION,7,85.57,43.56,no,100420,40.83,2.22,DUMWB76,,,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,39,COOCH BEHAR
AE,West_Bengal,17,5,2021,5,0,4,3,Sudhangshu Pramanik,M,CPM,6720,,245966,287445,SITALKUCHI,SC,JALPAIGURI DIVISION,7,85.57,2.73,yes,3977,1.62,2.22,DUMWB379,,,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,42,COOCH BEHAR
AE,West_Bengal,17,5,2021,5,0,4,4,None Of The Above,,NOTA,2743,,245966,287445,SITALKUCHI,SC,JALPAIGURI DIVISION,7,85.57,1.12,yes,725,0.29,2.22,,,,TRUE,,,,,,,,,FALSE,FALSE,,COOCH BEHAR
AE,West_Bengal,17,5,2021,5,0,4,5,Hare Krishna Sarkar,M,IND,2018,,245966,287445,SITALKUCHI,SC,JALPAIGURI DIVISION,7,85.57,0.82,yes,1042,0.42,2.22,GEWB13854,,,TRUE,3,IND,,MATHABHANGA,FALSE,TRUE,0,FALSE,FALSE,TRUE,49,COOCH BEHAR
AE,West_Bengal,17,5,2021,5,0,4,6,Manik Chandra Barman,M,Kamatapur People’s Party (United),976,,245966,287445,SITALKUCHI,SC,JALPAIGURI DIVISION,7,85.57,0.4,yes,255,0.1,2.22,DUMWB689,,,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,40,COOCH BEHAR
AE,West_Bengal,17,5,2021,5,0,4,7,Kamal Barman,M,Amra Bangalee,721,,245966,287445,SITALKUCHI,SC,JALPAIGURI DIVISION,7,85.57,0.29,yes,28,0.01,2.22,DUMWB513,,,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,52,COOCH BEHAR
AE,West_Bengal,17,5,2021,5,0,4,8,Jagadish Adhikari,M,SUCI,693,,245966,287445,SITALKUCHI,SC,JALPAIGURI DIVISION,7,85.57,0.28,yes,0,0,2.22,AEWB100241,,,TRUE,2,SUCI,,SITALKUCHI,TRUE,TRUE,0,FALSE,FALSE,TRUE,50,COOCH BEHAR
AE,West_Bengal,17,6,2021,5,0,4,1,JAGADISH CHANDRA BARMA BASUNIA,M,AITC,117908,,238578,293166,SITAI,SC,JALPAIGURI DIVISION,9,81.38,49.42,no,10112,4.24,2.27,AEWB100245,,,TRUE,2,AITC,,SITAI,TRUE,TRUE,2,FALSE,TRUE,TRUE,57,COOCH BEHAR
AE,West_Bengal,17,6,2021,5,0,4,2,DIPAK KUMAR ROY,M,BJP,107796,,238578,293166,SITAI,SC,JALPAIGURI DIVISION,9,81.38,45.18,no,103832,43.52,2.27,AEWB102213,,,TRUE,2,AIFB,,SITAI,TRUE,FALSE,0,TRUE,FALSE,FALSE,55,COOCH BEHAR
AE,West_Bengal,17,6,2021,5,0,4,3,KESHAB CHANDRA RAY,M,INC,3964,,238578,293166,SITAI,SC,JALPAIGURI DIVISION,9,81.38,1.66,yes,1573,0.66,2.27,AEWB100246,,,TRUE,3,INC,,SITAI,TRUE,TRUE,1,FALSE,FALSE,TRUE,68,COOCH BEHAR
AE,West_Bengal,17,6,2021,5,0,4,4,SUNIL MAHANTA,M,IND,2391,,238578,293166,SITAI,SC,JALPAIGURI DIVISION,9,81.38,1,yes,615,0.26,2.27,DUMWB869,,,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,52,COOCH BEHAR
AE,West_Bengal,17,6,2021,5,0,4,5,LALCHAND BARMAN,M,IND,1776,,238578,293166,SITAI,SC,JALPAIGURI DIVISION,9,81.38,0.74,yes,199,0.08,2.27,DUMWB830,,,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,66,COOCH BEHAR
AE,West_Bengal,17,6,2021,5,0,4,6,None Of The Above,,NOTA,1577,,238578,293166,SITAI,SC,JALPAIGURI DIVISION,9,81.38,0.66,yes,196,0.08,2.27,,,,TRUE,,,,,,,,,FALSE,FALSE,,COOCH BEHAR
AE,West_Bengal,17,6,2021,5,0,4,7,ANIL CHANDRA BARMAN ROY,M,SUCI,1381,,238578,293166,SITAI,SC,JALPAIGURI DIVISION,9,81.38,0.58,yes,515,0.22,2.27,AEWB105832,,,TRUE,5,SUCI,,SITAI,TRUE,TRUE,0,FALSE,FALSE,TRUE,62,COOCH BEHAR
AE,West_Bengal,17,6,2021,5,0,4,8,KASHIKANTA BARMAN,M,IND,866,,238578,293166,SITAI,SC,JALPAIGURI DIVISION,9,81.38,0.36,yes,316,0.13,2.27,DUMWB755,,,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,56,COOCH BEHAR
AE,West_Bengal,17,6,2021,5,0,4,9,PROSHANTA BARMAN,M,LJP,550,,238578,293166,SITAI,SC,JALPAIGURI DIVISION,9,81.38,0.23,yes,181,0.08,2.27,DUMWB562,,,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,27,COOCH BEHAR
AE,West_Bengal,17,6,2021,5,0,4,10,PRASANNA KUMAR ROY,M,Amra Bangalee,369,,238578,293166,SITAI,SC,JALPAIGURI DIVISION,9,81.38,0.15,yes,0,0,2.27,DUMWB720,,,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,68,COOCH BEHAR
AE,West_Bengal,17,7,2021,5,0,4,1,NISITH PRAMANIK,M,BJP,116035,,243751,302084,DINHATA,GEN,JALPAIGURI DIVISION,6,80.69,47.6,no,57,0.02,2.17,GEWB121993,,,TRUE,1,,,,,,1,FALSE,FALSE,FALSE,35,COOCH BEHAR
AE,West_Bengal,17,7,2021,5,0,4,2,UDAYAN GUHA,M,AITC,115978,,243751,302084,DINHATA,GEN,JALPAIGURI DIVISION,6,80.69,47.58,no,109909,45.09,2.17,AEWB100251,,,TRUE,4,AITC,,DINHATA,TRUE,TRUE,2,FALSE,TRUE,TRUE,66,COOCH BEHAR
AE,West_Bengal,17,7,2021,5,0,4,3,ABDUR ROUF,M,AIFB,6069,,243751,302084,DINHATA,GEN,JALPAIGURI DIVISION,6,80.69,2.49,yes,4532,1.86,2.17,DUMWB113,,,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,54,COOCH BEHAR
AE,West_Bengal,17,7,2021,5,0,4,4,None Of The Above,,NOTA,1537,,243751,302084,DINHATA,GEN,JALPAIGURI DIVISION,6,80.69,0.63,yes,150,0.06,2.17,,,,TRUE,,,,,,,,,FALSE,FALSE,,COOCH BEHAR
AE,West_Bengal,17,7,2021,5,0,4,5,LEBU MIYAN,M,IND,1387,,243751,302084,DINHATA,GEN,JALPAIGURI DIVISION,6,80.69,0.57,yes,12,0,2.17,DUMWB672,,,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,37,COOCH BEHAR
AE,West_Bengal,17,7,2021,5,0,4,6,PRADIP ROY,M,SUCI,1375,,243751,302084,DINHATA,GEN,JALPAIGURI DIVISION,6,80.69,0.56,yes,5,0,2.17,AEWB100259,,,TRUE,2,SUCI,,DINHATA,TRUE,TRUE,0,FALSE,FALSE,TRUE,45,COOCH BEHAR
AE,West_Bengal,17,7,2021,5,0,4,7,NIRMAL CHANDRA BARMAN,M,IND,1370,,243751,302084,DINHATA,GEN,JALPAIGURI DIVISION,6,80.69,0.56,yes,0,0,2.17,DUMWB570,,,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,44,COOCH BEHAR
AE,West_Bengal,17,8,2021,5,0,4,1,Mihir Goswami,M,BJP,111743,,217173,248255,NATABARI,GEN,JALPAIGURI DIVISION,7,87.48,51.45,no,23440,10.79,2.33,AEWB100230,,,TRUE,6,AITC,,COOCH BEHAR DAKSHIN,FALSE,FALSE,3,TRUE,TRUE,TRUE,67,COOCH BEHAR
AE,West_Bengal,17,8,2021,5,0,4,2,Rabindra Nath Ghosh,M,AITC,88303,,217173,248255,NATABARI,GEN,JALPAIGURI DIVISION,7,87.48,40.66,no,76464,35.21,2.33,AEWB107570,,,TRUE,6,AITC,,NATABARI,TRUE,TRUE,2,FALSE,TRUE,TRUE,66,COOCH BEHAR
AE,West_Bengal,17,8,2021,5,0,4,3,Akik Hassan,M,CPM,11839,,217173,248255,NATABARI,GEN,JALPAIGURI DIVISION,7,87.48,5.45,yes,10498,4.83,2.33,DUMWB12,,,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,31,COOCH BEHAR
AE,West_Bengal,17,8,2021,5,0,4,4,Sahidul Hossain,M,IND,1341,,217173,248255,NATABARI,GEN,JALPAIGURI DIVISION,7,87.48,0.62,yes,155,0.07,2.33,DUMWB790,,,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,45,COOCH BEHAR
AE,West_Bengal,17,8,2021,5,0,4,5,Abdus Salam,M,SUCI,1186,,217173,248255,NATABARI,GEN,JALPAIGURI DIVISION,7,87.48,0.55,yes,40,0.02,2.33,DUMWB489,,,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,41,COOCH BEHAR
AE,West_Bengal,17,8,2021,5,0,4,6,None Of The Above,,NOTA,1146,,217173,248255,NATABARI,GEN,JALPAIGURI DIVISION,7,87.48,0.53,yes,36,0.02,2.33,,,,TRUE,,,,,,,,,FALSE,FALSE,,COOCH BEHAR
AE,West_Bengal,17,8,2021,5,0,4,7,Dalendra Nath Ray,M,Amra Bangalee,1110,,217173,248255,NATABARI,GEN,JALPAIGURI DIVISION,7,87.48,0.51,yes,605,0.28,2.33,AEWB100295,,,TRUE,6,AMB,,ALIPURDUARS,FALSE,FALSE,0,TRUE,FALSE,TRUE,66,COOCH BEHAR
AE,West_Bengal,17,8,2021,5,0,4,8,Ekramul Hoque,M,United Socialist Party,505,,217173,248255,NATABARI,GEN,JALPAIGURI DIVISION,7,87.48,0.23,yes,0,0,2.33,DUMWB625,,,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,34,COOCH BEHAR
AE,West_Bengal,17,9,2021,5,0,4,1,Malati Rava Roy,F,BJP,114503,,209378,237122,TUFANGANJ,GEN,JALPAIGURI DIVISION,8,88.3,54.69,no,31198,14.9,2.17,AEWB105849,,,TRUE,4,BJP,,COOCH BEHAR UTTAR,FALSE,TRUE,1,FALSE,FALSE,FALSE,56,COOCH BEHAR
AE,West_Bengal,17,9,2021,5,0,4,2,Pranab Kumar Dey,M,AITC,83305,,209378,237122,TUFANGANJ,GEN,JALPAIGURI DIVISION,8,88.3,39.79,no,77332,36.93,2.17,DUMWB14,,,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,60,COOCH BEHAR
AE,West_Bengal,17,9,2021,5,0,4,3,Rabin Roy,M,INC,5973,,209378,237122,TUFANGANJ,GEN,JALPAIGURI DIVISION,8,88.3,2.85,yes,3904,1.86,2.17,DUMWB369,,,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,67,COOCH BEHAR
AE,West_Bengal,17,9,2021,5,0,4,4,None Of The Above,,NOTA,2069,,209378,237122,TUFANGANJ,GEN,JALPAIGURI DIVISION,8,88.3,0.99,yes,608,0.29,2.17,,,,TRUE,,,,,,,,,FALSE,FALSE,,COOCH BEHAR
AE,West_Bengal,17,9,2021,5,0,4,5,Sushil Chandra Das,M,IND,1461,,209378,237122,TUFANGANJ,GEN,JALPAIGURI DIVISION,8,88.3,0.7,yes,860,0.41,2.17,DUMWB853,,,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,54,COOCH BEHAR
AE,West_Bengal,17,9,2021,5,0,4,6,Prahallad Layek,M,IND,601,,209378,237122,TUFANGANJ,GEN,JALPAIGURI DIVISION,8,88.3,0.29,yes,49,0.02,2.17,DUMWB795,,,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,40,COOCH BEHAR
AE,West_Bengal,17,9,2021,5,0,4,7,Dhananjay Barman,M,IND,552,,209378,237122,TUFANGANJ,GEN,JALPAIGURI DIVISION,8,88.3,0.26,yes,61,0.03,2.17,DUMWB682,,,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,42,COOCH BEHAR
AE,West_Bengal,17,9,2021,5,0,4,8,Bhola Saha,M,SUCI,491,,209378,237122,TUFANGANJ,GEN,JALPAIGURI DIVISION,8,88.3,0.23,yes,68,0.03,2.17,DUMWB642,,,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,58,COOCH BEHAR
AE,West_Bengal,17,9,2021,5,0,4,9,Jiban Kumar Saha,M,Amra Bangalee,423,,209378,237122,TUFANGANJ,GEN,JALPAIGURI DIVISION,8,88.3,0.2,yes,0,0,2.17,DUMWB484,,,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,66,COOCH BEHAR
AE,West_Bengal,17,10,2021,5,0,4,1,MANOJ KUMAR ORAON,M,BJP,111974,,232489,275070,KUMARGRAM,ST,JALPAIGURI DIVISION,7,84.52,48.16,no,11001,4.73,2.38,AEWB102248,,,TRUE,3,RSP,,KUMARGRAM,TRUE,FALSE,2,TRUE,FALSE,TRUE,41,JALPAIGURI
AE,West_Bengal,17,10,2021,5,0,4,2,LEOS KUJUR (URAO),M,AITC,100973,,232489,275070,KUMARGRAM,ST,JALPAIGURI DIVISION,7,84.52,43.43,no,89720,38.59,2.38,DUMWB386,,,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,46,JALPAIGURI
AE,West_Bengal,17,10,2021,5,0,4,3,KISHOR MINJ,M,RSP,11253,,232489,275070,KUMARGRAM,ST,JALPAIGURI DIVISION,7,84.52,4.84,yes,8535,3.67,2.38,DUMWB127,,,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,37,JALPAIGURI
AE,West_Bengal,17,10,2021,5,0,4,4,None Of The Above,,NOTA,2718,,232489,275070,KUMARGRAM,ST,JALPAIGURI DIVISION,7,84.52,1.17,yes,937,0.4,2.38,,,,TRUE,,,,,,,,,FALSE,FALSE,,JALPAIGURI
AE,West_Bengal,17,10,2021,5,0,4,5,Aron Murmu,M,IND,1781,,232489,275070,KUMARGRAM,ST,JALPAIGURI DIVISION,7,84.52,0.77,yes,130,0.06,2.38,DUMWB765,,,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,26,JALPAIGURI
AE,West_Bengal,17,10,2021,5,0,4,6,Shrilal Oron,M,Kamatapur People’s Party (United),1651,,232489,275070,KUMARGRAM,ST,JALPAIGURI DIVISION,7,84.52,0.71,yes,252,0.11,2.38,DUMWB690,,,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,43,JALPAIGURI
AE,West_Bengal,17,10,2021,5,0,4,7,KALAWATI CHIK BARAIK,F,JD(U),1399,,232489,275070,KUMARGRAM,ST,JALPAIGURI DIVISION,7,84.52,0.6,yes,659,0.28,2.38,DUMWB530,,,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,44,JALPAIGURI
